source_type,source_path,feature,scenario,tags,status,notes
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/Section5_CartOperationsTest.java,Section5_CartOperationsTest,CRT_02_AddToCart_LabVisit,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/Section5_CartOperationsTest.java,Section5_CartOperationsTest,CRT_03_GetCart_VerifyCouponMath,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/Section5_CartOperationsTest.java,Section5_CartOperationsTest,CRT_04_GetCart_EmptyCart,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/Section5_CartOperationsTest.java,Section5_CartOperationsTest,CRT_05_AddToCart_DiscountCap,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/Section5_CartOperationsTest.java,Section5_CartOperationsTest,CRT_06_CartUpdatedAfterSlotBooking,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_003_ExpiredCouponsNotListed,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_004_FutureCouponsNotListed,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_005_ActiveCouponShouldBeValid,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_006_ExpiredCouponRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_007_InactiveCouponRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_008_InvalidCouponRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_009_OrderGteMin,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_010_OrderLtMin,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_011_ExactMinBoundary,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/coupons/CouponComprehensiveTest.java,CouponComprehensiveTest,TC_CPN_012_ApplyValidCouponSuccessfully,,Implemented,@Test method
